tract_home1;tract_home2;nr_social_ties
14000US25009201100;14000US25009201100;8
14000US25009201100;14000US25009202101;1
14000US25009201100;14000US25009202102;3
14000US25009201100;14000US25009203301;1
14000US25009201100;14000US25009204500;1
14000US25009201100;14000US25009205200;2
14000US25009201100;14000US25009205500;1
14000US25009201100;14000US25009207100;4
14000US25009201100;14000US25009209100;1
14000US25009201100;14000US25009210100;1
14000US25009201100;14000US25009210300;1
14000US25009201100;14000US25009210500;1
14000US25009201100;14000US25009211100;1
14000US25009201100;14000US25009211300;1
14000US25009201100;14000US25009211402;1
14000US25009201100;14000US25009212100;1
14000US25009201100;14000US25009217201;1
14000US25009201100;14000US25009217300;2
14000US25009201100;14000US25009262100;1
14000US25009201100;14000US25009267101;1
14000US25009201100;14000US25009267102;1
14000US25009201100;14000US25009269100;1
14000US25009201100;14000US25017353102;1
14000US25009201100;14000US25017388300;1
14000US25009201100;14000US25021402101;1
14000US25009201100;14000US25025030300;1
14000US25009202101;14000US25009201100;1
14000US25009202101;14000US25009202102;4
14000US25009202101;14000US25009203301;1
14000US25009202101;14000US25009205900;2
14000US25009202101;14000US25009206600;2
14000US25009202101;14000US25009209100;1
14000US25009202101;14000US25009260800;1
14000US25009202101;14000US25017310700;1
14000US25009202101;14000US25017339802;1
14000US25009202101;14000US25017340000;1
14000US25009202101;14000US25017353400;1
14000US25009202101;14000US25017353700;1
14000US25009202101;14000US25025020303;1
14000US25009202101;14000US25025090400;1
14000US25009202101;14000US25025101001;1
14000US25009202101;14000US25025140201;1
14000US25009202102;14000US25009201100;3
14000US25009202102;14000US25009202101;4
14000US25009202102;14000US25009202102;2
14000US25009202102;14000US25009203200;1
14000US25009202102;14000US25009204101;1
14000US25009202102;14000US25009204200;4
14000US25009202102;14000US25009204500;2
14000US25009202102;14000US25009204701;2
14000US25009202102;14000US25009204702;1
14000US25009202102;14000US25009205200;3
14000US25009202102;14000US25009205600;1
14000US25009202102;14000US25009205900;1
14000US25009202102;14000US25009206000;1
14000US25009202102;14000US25009206100;1
14000US25009202102;14000US25009206600;1
14000US25009202102;14000US25009207100;1
14000US25009202102;14000US25009208101;1
14000US25009202102;14000US25009209100;3
14000US25009202102;14000US25009210300;2
14000US25009202102;14000US25009210600;1
14000US25009202102;14000US25009210800;1
14000US25009202102;14000US25009211200;1
14000US25009202102;14000US25009214100;1
14000US25009202102;14000US25009217201;1
14000US25009202102;14000US25009221500;1
14000US25009202102;14000US25009223300;1
14000US25009202102;14000US25009250800;1
14000US25009202102;14000US25009253100;1
14000US25009202102;14000US25017310500;1
14000US25009202102;14000US25017341400;1
14000US25009202102;14000US25017342202;1
14000US25009202102;14000US25017342400;1
14000US25009202102;14000US25017353101;1
14000US25009202102;14000US25017383502;1
14000US25009202102;14000US25021416102;1
14000US25009202102;14000US25021422800;1
14000US25009202102;14000US25025000100;1
14000US25009202102;14000US25025010203;1
14000US25009202102;14000US25025020303;1
14000US25009202102;14000US25025030300;1
14000US25009202102;14000US25025081500;1
14000US25009202102;14000US25025101001;1
14000US25009202102;14000US25025120600;1
14000US25009202200;14000US25009204600;1
14000US25009202200;14000US25009205200;1
14000US25009202200;14000US25009205500;1
14000US25009202200;14000US25009205900;1
14000US25009202200;14000US25009208101;1
14000US25009202200;14000US25009208300;1
14000US25009202200;14000US25009221300;1
14000US25009202200;14000US25017335200;1
14000US25009202200;14000US25017351204;1
14000US25009202200;14000US25017353600;1
14000US25009202200;14000US25021410100;1
14000US25009202200;14000US25021417100;1
14000US25009202200;14000US25021417602;1
14000US25009202200;14000US25021422501;1
14000US25009202200;14000US25023561200;1
14000US25009202200;14000US25025010702;1
14000US25009202200;14000US25025020302;1
14000US25009202200;14000US25025020303;1
14000US25009202200;14000US25025030300;1
14000US25009202200;14000US25025170300;1
14000US25009202200;14000US25025180400;1
14000US25009202200;14000US33017085000;1
14000US25009203100;14000US25009203200;1
14000US25009203100;14000US25009203301;2
14000US25009203100;14000US25009204300;1
14000US25009203100;14000US25009204400;1
14000US25009203100;14000US25009205500;1
14000US25009203100;14000US25009208101;3
14000US25009203100;14000US25009208102;1
14000US25009203100;14000US25009208200;2
14000US25009203100;14000US25009208300;4
14000US25009203100;14000US25009208400;1
14000US25009203100;14000US25009209100;1
14000US25009203100;14000US25009210300;1
14000US25009203100;14000US25009210600;1
14000US25009203100;14000US25009211401;1
14000US25009203100;14000US25009212100;1
14000US25009203100;14000US25009217100;1
14000US25009203100;14000US25009217201;1
14000US25009203100;14000US25009217400;2
14000US25009203100;14000US25017310500;1
14000US25009203100;14000US25017333501;1
14000US25009203100;14000US25017335100;1
14000US25009203100;14000US25017335200;1
14000US25009203100;14000US25017336300;1
14000US25009203100;14000US25017336401;1
14000US25009203100;14000US25017339100;1
14000US25009203100;14000US25017341600;1
14000US25009203100;14000US25017353101;1
14000US25009203100;14000US25017360200;1
14000US25009203100;14000US25023506203;1
14000US25009203100;14000US25025020303;1
14000US25009203100;14000US25025030300;1
14000US25009203100;14000US25025160601;1
14000US25009203100;14000US25025170300;1
14000US25009203100;14000US25025981300;1
14000US25009203100;14000US25025981800;1
14000US25009203200;14000US25009202102;1
14000US25009203200;14000US25009203100;1
14000US25009203200;14000US25009203301;1
14000US25009203200;14000US25009203302;2
14000US25009203200;14000US25009204101;1
14000US25009203200;14000US25009210300;1
14000US25009203200;14000US25009211200;1
14000US25009203200;14000US25009217202;1
14000US25009203200;14000US25009217600;1
14000US25009203200;14000US25009267102;1
14000US25009203200;14000US25017311300;1
14000US25009203200;14000US25017314301;1
14000US25009203200;14000US25017320104;1
14000US25009203200;14000US25017332100;1
14000US25009203200;14000US25017332400;1
14000US25009203200;14000US25017333502;1
14000US25009203200;14000US25017351203;1
14000US25009203200;14000US25017373600;1
14000US25009203200;14000US25021410300;1
14000US25009203200;14000US25023523100;1
14000US25009203200;14000US25023530901;1
14000US25009203200;14000US25023561200;3
14000US25009203200;14000US25025110502;1
14000US25009203200;14000US25025981700;1
14000US25009203200;14000US33015059000;1
14000US25009203301;14000US25009201100;1
14000US25009203301;14000US25009202101;1
14000US25009203301;14000US25009203100;2
14000US25009203301;14000US25009203200;1
14000US25009203301;14000US25009203302;1
14000US25009203301;14000US25009204101;1
14000US25009203301;14000US25009204200;2
14000US25009203301;14000US25009204300;2
14000US25009203301;14000US25009204701;1
14000US25009203301;14000US25009205100;2
14000US25009203301;14000US25009206800;1
14000US25009203301;14000US25009206900;1
14000US25009203301;14000US25009208400;1
14000US25009203301;14000US25009210300;1
14000US25009203301;14000US25009210600;1
14000US25009203301;14000US25009212100;2
14000US25009203301;14000US25009250600;1
14000US25009203301;14000US25009260200;1
14000US25009203301;14000US25017337201;1
14000US25009203301;14000US25021400200;1
14000US25009203301;14000US25021416101;1
14000US25009203301;14000US25025000201;1
14000US25009203301;14000US25025030300;1
14000US25009203301;14000US25025040200;1
14000US25009203301;14000US25025160501;1
14000US25009203302;14000US25009203200;2
14000US25009203302;14000US25009203301;1
14000US25009203302;14000US25009204701;1
14000US25009203302;14000US25009205200;1
14000US25009203302;14000US25009208400;1
14000US25009203302;14000US25009211300;1
14000US25009203302;14000US25009211401;1
14000US25009203302;14000US25009215101;1
14000US25009203302;14000US25017353101;1
14000US25009203302;14000US25017353800;1
14000US25009203302;14000US25017383502;1
14000US25009203302;14000US25021400600;1
14000US25009203302;14000US25021402101;1
14000US25009203302;14000US25021456200;1
14000US25009203302;14000US25023500101;1
14000US25009203302;14000US25025010701;1
14000US25009203302;14000US25025020303;1
14000US25009204101;14000US25009202102;1
14000US25009204101;14000US25009203200;1
14000US25009204101;14000US25009203301;1
14000US25009204101;14000US25009204101;26
14000US25009204101;14000US25009204102;3
14000US25009204101;14000US25009204200;4
14000US25009204101;14000US25009204300;1
14000US25009204101;14000US25009204500;1
14000US25009204101;14000US25009204701;7
14000US25009204101;14000US25009204702;1
14000US25009204101;14000US25009205100;1
14000US25009204101;14000US25009205200;1
14000US25009204101;14000US25009206600;1
14000US25009204101;14000US25009206700;1
14000US25009204101;14000US25009208101;2
14000US25009204101;14000US25009208102;1
14000US25009204101;14000US25009208200;4
14000US25009204101;14000US25009208300;4
14000US25009204101;14000US25009208400;3
14000US25009204101;14000US25009210900;1
14000US25009204101;14000US25009211100;2
14000US25009204101;14000US25009211200;6
14000US25009204101;14000US25009211300;1
14000US25009204101;14000US25009217100;1
14000US25009204101;14000US25009217500;1
14000US25009204101;14000US25009217600;3
14000US25009204101;14000US25009221400;1
14000US25009204101;14000US25009221500;1
14000US25009204101;14000US25009252601;2
14000US25009204101;14000US25009253100;1
14000US25009204101;14000US25009254200;2
14000US25009204101;14000US25009254302;1
14000US25009204101;14000US25009260200;1
14000US25009204101;14000US25009260301;2
14000US25009204101;14000US25009260402;1
14000US25009204101;14000US25009260500;1
14000US25009204101;14000US25009260800;1
14000US25009204101;14000US25009261000;1
14000US25009204101;14000US25009261101;1
14000US25009204101;14000US25009263100;1
14000US25009204101;14000US25009267101;1
14000US25009204101;14000US25009268400;1
14000US25009204101;14000US25017310100;2
14000US25009204101;14000US25017310500;1
14000US25009204101;14000US25017314200;2
14000US25009204101;14000US25017315403;4
14000US25009204101;14000US25017316101;2
14000US25009204101;14000US25017316300;1
14000US25009204101;14000US25017316500;1
14000US25009204101;14000US25017318200;1
14000US25009204101;14000US25017331300;2
14000US25009204101;14000US25017332100;3
14000US25009204101;14000US25017332200;2
14000US25009204101;14000US25017332300;2
14000US25009204101;14000US25017333300;1
14000US25009204101;14000US25017333502;1
14000US25009204101;14000US25017333600;1
14000US25009204101;14000US25017334300;1
14000US25009204101;14000US25017336200;1
14000US25009204101;14000US25017339100;1
14000US25009204101;14000US25017339500;1
14000US25009204101;14000US25017339801;1
14000US25009204101;14000US25017341800;1
14000US25009204101;14000US25017342101;2
14000US25009204101;14000US25017342300;1
14000US25009204101;14000US25017352600;1
14000US25009204101;14000US25017352900;1
14000US25009204101;14000US25017353300;1
14000US25009204101;14000US25017356602;1
14000US25009204101;14000US25017358400;1
14000US25009204101;14000US25017368102;1
14000US25009204101;14000US25017368400;2
14000US25009204101;14000US25017368901;1
14000US25009204101;14000US25017374800;1
14000US25009204101;14000US25017388300;1
14000US25009204101;14000US25021400100;1
14000US25009204101;14000US25021400300;1
14000US25009204101;14000US25021400400;2
14000US25009204101;14000US25021400500;1
14000US25009204101;14000US25021400800;1
14000US25009204101;14000US25021401200;1
14000US25009204101;14000US25021402102;1
14000US25009204101;14000US25021415102;1
14000US25009204101;14000US25021416101;1
14000US25009204101;14000US25021416102;1
14000US25009204101;14000US25021417701;3
14000US25009204101;14000US25021417901;1
14000US25009204101;14000US25021419800;1
14000US25009204101;14000US25021422700;1
14000US25009204101;14000US25021456200;1
14000US25009204101;14000US25023500101;3
14000US25009204101;14000US25023500104;3
14000US25009204101;14000US25023501102;2
14000US25009204101;14000US25023504102;2
14000US25009204101;14000US25023506102;1
14000US25009204101;14000US25023506203;1
14000US25009204101;14000US25023510100;1
14000US25009204101;14000US25023525101;1
14000US25009204101;14000US25023525104;1
14000US25009204101;14000US25025000100;2
14000US25009204101;14000US25025000602;1
14000US25009204101;14000US25025010405;1
14000US25009204101;14000US25025010701;2
14000US25009204101;14000US25025020301;1
14000US25009204101;14000US25025020302;2
14000US25009204101;14000US25025020303;1
14000US25009204101;14000US25025030300;1
14000US25009204101;14000US25025040600;1
14000US25009204101;14000US25025050700;1
14000US25009204101;14000US25025051000;2
14000US25009204101;14000US25025051101;1
14000US25009204101;14000US25025070200;1
14000US25009204101;14000US25025070700;1
14000US25009204101;14000US25025070800;1
14000US25009204101;14000US25025080401;1
14000US25009204101;14000US25025080601;1
14000US25009204101;14000US25025080900;1
14000US25009204101;14000US25025091200;1
14000US25009204101;14000US25025100300;1
14000US25009204101;14000US25025100900;1
14000US25009204101;14000US25025110403;1
14000US25009204101;14000US25025160501;1
14000US25009204101;14000US25025160502;3
14000US25009204101;14000US25025160601;1
14000US25009204101;14000US25025170100;1
14000US25009204101;14000US25025170200;1
14000US25009204101;14000US25025170300;5
14000US25009204101;14000US25025170601;1
14000US25009204101;14000US33015065001;1
14000US25009204101;14000US33015069100;1
14000US25009204101;14000US33015100400;1
14000US25009204101;14000US33017084200;1
14000US25009204101;14000US33017084300;1
14000US25009204102;14000US25009204101;3
14000US25009204102;14000US25009204200;4
14000US25009204102;14000US25009204300;2
